sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority
37386,2.243573930155735,0,INFO,0.0,0,0,0,0,226
37387,1.9743457634100159,0,INFO,0.0,0,0,0,0,227
37388,2.199426894122706,0,INFO,0.0,0,0,0,0,228
37389,2.1552798580896764,0,INFO,0.0,0,0,0,0,229
37390,2.199426894122706,0,INFO,0.0,0,0,0,0,230
37495,1.8860516913439567,0,INFO,0.0,0,0,0,0,231
37494,1.8860516913439571,0,INFO,0.0,0,0,0,0,232
37493,1.8860516913439571,0,INFO,0.0,0,0,0,0,233
37492,1.9301987273769863,0,INFO,0.0,0,0,0,0,234
37373,1.6609705606312672,0,INFO,0.0,0,0,0,0,235
37361,1.2549553352389164,0,INFO,0.0,0,0,0,0,236
37371,1.435889429918577,0,INFO,0.0,0,0,0,0,237
37350,2.2877209661887647,0,INFO,0.0,0,0,0,0,238
37336,2.4686550608684255,0,INFO,0.0,0,0,0,0,239
37337,2.5128020969014546,0,INFO,0.0,0,0,0,0,240
37338,2.5569491329344842,0,INFO,0.0,0,0,0,0,241
37339,2.5569491329344842,0,INFO,0.0,0,0,0,0,242
37340,2.5128020969014546,0,INFO,0.0,0,0,0,0,243
37341,2.5569491329344842,0,INFO,0.0,0,0,0,0,244
37342,2.6010961689675134,0,INFO,0.0,0,0,0,0,245
37343,2.6010961689675134,0,INFO,0.0,0,0,0,0,246
37344,2.6010961689675134,0,INFO,0.0,0,0,0,0,247
37345,2.6010961689675134,0,INFO,0.0,0,0,0,0,248
37346,2.5569491329344842,0,INFO,0.0,0,0,0,0,249
37347,2.2877209661887647,0,INFO,0.0,0,0,0,0,250
37348,2.2877209661887647,0,INFO,0.0,0,0,0,0,251
37349,2.2877209661887647,0,INFO,0.0,0,0,0,0,252
37351,2.243573930155735,0,INFO,0.0,0,0,0,0,253
37370,1.435889429918577,0,INFO,0.0,0,0,0,0,254
37352,2.199426894122706,0,INFO,0.0,0,0,0,0,255
37353,2.199426894122706,0,INFO,0.0,0,0,0,0,256
37354,1.9301987273769863,0,INFO,0.0,0,0,0,0,257
37355,1.9301987273769863,0,INFO,0.0,0,0,0,0,258
37356,1.9743457634100159,0,INFO,0.0,0,0,0,0,259
37357,2.243573930155735,0,INFO,0.0,0,0,0,0,260
37358,1.9743457634100159,0,INFO,0.0,0,0,0,0,261
37359,1.7051175966642969,0,INFO,0.0,0,0,0,0,262
37360,1.4800364659516063,0,INFO,0.0,0,0,0,0,263
37392,2.1552798580896764,0,INFO,0.0,0,0,0,0,264
37362,1.2991023712719458,0,INFO,0.0,0,0,0,0,265
37363,1.0298742045262266,0,INFO,0.0,0,0,0,0,266
37364,1.0298742045262266,0,INFO,0.0,0,0,0,0,267
37369,1.1666612631728577,0,INFO,0.0,0,0,0,0,268
37391,2.199426894122706,0,INFO,0.0,0,0,0,0,269
37400,2.1552798580896764,0,INFO,0.0,0,0,0,0,270
37393,2.1111328220566468,0,INFO,0.0,0,0,0,0,271
37459,2.1552798580896764,0,INFO,0.0,0,0,0,0,272
37463,1.9743457634100159,0,INFO,0.0,0,0,0,0,273
37481,1.7492646326973258,0,INFO,0.0,0,0,0,0,274
37482,2.018492799443045,0,INFO,0.0,0,0,0,0,275
37462,2.199426894122706,0,INFO,0.0,0,0,0,0,276
37461,2.199426894122706,0,INFO,0.0,0,0,0,0,277
37460,2.199426894122706,0,INFO,0.0,0,0,0,0,278
37458,2.424508024835396,0,INFO,0.0,0,0,0,0,279
37394,2.111132822056647,0,INFO,0.0,0,0,0,0,280
